query_label	job_title	closest_job_title	distance	rank
36	education administrators postsecondary	academic affairs dean	0	2
36	education administrators postsecondary	academic affairs director	0	3
36	education administrators postsecondary	academic affairs vice president	0	4
36	education administrators postsecondary	academic dean	0	5
37	education administrators all other	education administrators all other	0	1
37	education administrators all other	apprenticeship consultant	0	2
37	education administrators all other	apprenticeship representative	0	3
37	education administrators all other	area supervisor	0	4
37	education administrators all other	attache	0	5
38	distance learning coordinators	distance learning coordinators	0	1
38	distance learning coordinators	chief learning officer	0	2
38	distance learning coordinators	coordinator of online programs	0	3
38	distance learning coordinators	development coordinator	0	4
38	distance learning coordinators	director of distance learning	0	5
39	fitness and wellness coordinators	fitness and wellness coordinators	0	1
39	fitness and wellness coordinators	campus wellness coordinator	0	2
39	fitness and wellness coordinators	certified wellness program coordinator	0	3
39	fitness and wellness coordinators	certified wellness program manager	0	4
39	fitness and wellness coordinators	chief wellness officer	0	5
40	architectural and engineering managers	architectural and engineering managers	0	1
40	architectural and engineering managers	architect manager	0	2
40	architectural and engineering managers	architectural job captain	0	3
40	architectural and engineering managers	chief design branch	0	4
40	architectural and engineering managers	chief design engineer	0	5
41	biofuelsbiodiesel technology and product development managers	biofuelsbiodiesel technology and product development managers	0	1
41	biofuelsbiodiesel technology and product development managers	analytical research program manager	0	2
41	biofuelsbiodiesel technology and product development managers	biodiesel division manager	0	3
41	biofuelsbiodiesel technology and product development managers	biodiesel engineering manager	0	4
41	biofuelsbiodiesel technology and product development managers	biodiesel product development manager	0	5
42	food service managers	food service managers	0	1
42	food service managers	banquet director	0	2
42	food service managers	banquet manager	0	3
42	food service managers	boarding house manager	0	4
42	food service managers	cafe operator	0	5
43	funeral service managers	funeral service managers	0	1
43	funeral service managers	arranging funeral director	0	2
43	funeral service managers	assistant manager of operations	0	3
43	funeral service managers	funeral counselor	0	4
43	funeral service managers	funeral home director	0	5
44	gaming managers	gaming managers	0	1
44	gaming managers	assistant casino shift manager	0	2
44	gaming managers	baccarat manager	0	3
44	gaming managers	bingo manager	0	4
44	gaming managers	bookmaker	0	5
45	lodging managers	lodging managers	0	1
45	lodging managers	agricultural labor camp manager	0	2
45	lodging managers	apartment coordinator	0	3
45	lodging managers	bed and breakfast innkeeper	0	4
45	lodging managers	boardinghouse keeper	0	5
46	medical and health services managers	medical and health services managers	0	1
46	medical and health services managers	assisted living administrator	0	2
46	medical and health services managers	assisted living manager	0	3
46	medical and health services managers	business director	0	4
46	medical and health services managers	cancer center director	0	5
47	natural sciences managers	natural sciences managers	0	1
47	natural sciences managers	agricultural research director	0	2
47	natural sciences managers	agriculture research director	0	3
47	natural sciences managers	chemical laboratory chief	0	4
47	natural sciences managers	chemical plant technical director	0	5
48	clinical research coordinators	clinical research coordinators	0	1
48	clinical research coordinators	clinical data coordinator	0	2
48	clinical research coordinators	clinical manager	0	3
48	clinical research coordinators	clinical operations specialist	0	4
48	clinical research coordinators	clinical program coordinator	0	5
49	water resource specialists	water resource specialists	0	1
49	water resource specialists	community resource consultant	0	2
49	water resource specialists	environmental resource specialist	0	3
49	water resource specialists	global implementation manager	0	4
49	water resource specialists	hydrogeologist	0	5
50	postmasters and mail superintendents	postmasters and mail superintendents	0	1
50	postmasters and mail superintendents	branch manager	0	2
50	postmasters and mail superintendents	computerized forwarding system supervisor	0	3
50	postmasters and mail superintendents	customer service manager	0	4
50	postmasters and mail superintendents	customer service supervisor	0	5
51	property real estate and community association managers	property real estate and community association managers	0	1
51	property real estate and community association managers	apartment hotel manager	0	2
51	property real estate and community association managers	apartment house manager	0	3
51	property real estate and community association managers	apartment manager	0	4
51	property real estate and community association managers	assistant property manager	0	5
52	social and community service managers	social and community service managers	0	1
52	social and community service managers	adoption services manager	0	2
52	social and community service managers	adult daycare coordinator	0	3
52	social and community service managers	borough coordinator	0	4
52	social and community service managers	bureau director	0	5
53	emergency management directors	emergency management directors	0	1
53	emergency management directors	911 communications manager	0	2
53	emergency management directors	civil preparedness officer	0	3
53	emergency management directors	director of civil defense	0	4
53	emergency management directors	director of public safety	0	5
54	managers all other	managers all other	0	1
54	managers all other	animal ride manager	0	2
54	managers all other	aquatic facility manager	0	3
54	managers all other	area development manager	0	4
54	managers all other	area supervisor	0	5
55	regulatory affairs managers	regulatory affairs managers	0	1
55	regulatory affairs managers	clinical trials systems administrator	0	2
55	regulatory affairs managers	global regulatory affairs manager	0	3
55	regulatory affairs managers	global regulatory affairs vice president	0	4
55	regulatory affairs managers	regulatory administrator	0	5
56	compliance managers	compliance managers	0	1
56	compliance managers	audit manager	0	2
56	compliance managers	bsa officer	0	3
56	compliance managers	bsaaml compliance officer	0	4
56	compliance managers	business practices supervisor	0	5
57	investment fund managers	investment fund managers	0	1
57	investment fund managers	asset manager	0	2
57	investment fund managers	assistant vice president investment analysis	0	3
57	investment fund managers	equity analyst	0	4
57	investment fund managers	fixed income portfolio manager	0	5
58	supply chain managers	supply chain managers	0	1
58	supply chain managers	global supply chain director	0	2
58	supply chain managers	materials planner	0	3
58	supply chain managers	supply chain design manager	0	4
58	supply chain managers	supply chain development manager	0	5
59	security managers	security managers	0	1
59	security managers	chief security officer cso	0	2
59	security managers	corporate physical security supervisor	0	3
59	security managers	corporate security manager	0	4
59	security managers	director security management	0	5
60	loss prevention managers	loss prevention managers	0	1
60	loss prevention managers	area loss prevention manager	0	2
60	loss prevention managers	associate vice president	0	3
60	loss prevention managers	directorloss prevention	0	4
60	loss prevention managers	district loss prevention manager	0	5
61	wind energy operations managers	wind energy operations managers	0	1
61	wind energy operations managers	offshore wind operations manager	0	2
61	wind energy operations managers	wind farm operations manager	0	3
61	wind energy operations managers	wind field service manager	0	4
61	wind energy operations managers	wind operations manager	0	5
62	wind energy project managers	wind energy project managers	0	1
62	wind energy project managers	energy projects lead	0	2
62	wind energy project managers	environmental projects advisor	0	3
62	wind energy project managers	renewable energy project manager	0	4
62	wind energy project managers	wind development director	0	5
63	brownfield redevelopment specialists and site managers	brownfield redevelopment specialists and site managers	0	1
63	brownfield redevelopment specialists and site managers	brownfield and economic development director	0	2
63	brownfield redevelopment specialists and site managers	brownfield program coordinator	0	3
63	brownfield redevelopment specialists and site managers	brownfield redevelopment site manager	0	4
63	brownfield redevelopment specialists and site managers	brownfield redevelopment specialist	0	5
64	agents and business managers of artists performers and athletes	agents and business managers of artists performers and athletes	0	1
64	agents and business managers of artists performers and athletes	account manager	0	2
64	agents and business managers of artists performers and athletes	advance agent	0	3
64	agents and business managers of artists performers and athletes	agent	0	4
64	agents and business managers of artists performers and athletes	artist agent	0	5
65	buyers and purchasing agents farm products	buyers and purchasing agents farm products	0	1
65	buyers and purchasing agents farm products	agronomy supervisor	0	2
65	buyers and purchasing agents farm products	any commodity buyer	0	3
65	buyers and purchasing agents farm products	buyer	0	4
65	buyers and purchasing agents farm products	buying agent	0	5
66	wholesale and retail buyers except farm products	wholesale and retail buyers except farm products	0	1
66	wholesale and retail buyers except farm products	art dealer	0	2
66	wholesale and retail buyers except farm products	buyer	0	3
66	wholesale and retail buyers except farm products	buyer assistant	0	4
66	wholesale and retail buyers except farm products	category development manager	0	5
67	purchasing agents except wholesale retail and farm products	purchasing agents except wholesale retail and farm products	0	1
67	purchasing agents except wholesale retail and farm products	area field person	0	2
67	purchasing agents except wholesale retail and farm products	area field worker	0	3
67	purchasing agents except wholesale retail and farm products	buyer	0	4
67	purchasing agents except wholesale retail and farm products	contract administrator	0	5
68	claims adjusters examiners and investigators	claims adjusters examiners and investigators	0	1
68	claims adjusters examiners and investigators	claims analyst	0	2
68	claims adjusters examiners and investigators	fire claims adjuster	0	3
68	claims adjusters examiners and investigators	health claims examiner	0	4
68	claims adjusters examiners and investigators	health insurance adjuster	0	5
69	claims examiners property and casualty insurance	claims examiners property and casualty insurance	0	1
69	claims examiners property and casualty insurance	case manager	0	2
69	claims examiners property and casualty insurance	casualty claims supervisor	0	3
69	claims examiners property and casualty insurance	check examiner	0	4
69	claims examiners property and casualty insurance	claim auditor	0	5
70	insurance adjusters examiners and investigators	insurance adjusters examiners and investigators	0	1
70	insurance adjusters examiners and investigators	accident investigator	0	2
70	insurance adjusters examiners and investigators	adjuster	0	3
70	insurance adjusters examiners and investigators	adjustment clerk	0	4
70	insurance adjusters examiners and investigators	appraiser	0	5
71	insurance appraisers auto damage	insurance appraisers auto damage	0	1
71	insurance appraisers auto damage	appraiser	0	2
71	insurance appraisers auto damage	auto  truck and property damage appraiser automobile  truck and property damage appraiser	0	3
71	insurance appraisers auto damage	auto body repair estimator	0	4
71	insurance appraisers auto damage	auto damage estimator	0	5
72	compliance officers	compliance officers	0	1
72	compliance officers	air pollution compliance inspector	0	2
72	compliance officers	compliance investigator	0	3
72	compliance officers	drivers license examiner	0	4
72	compliance officers	environmental compliance inspector	0	5
73	environmental compliance inspectors	environmental compliance inspectors	0	1
73	environmental compliance inspectors	agricultural chemicals inspector	0	2
73	environmental compliance inspectors	agricultural chemicals registration specialist	0	3
73	environmental compliance inspectors	air pollution inspector	0	4
73	environmental compliance inspectors	certified erosion sediment and storm water inspector cesswi	0	5
74	licensing examiners and inspectors	licensing examiners and inspectors	0	1
74	licensing examiners and inspectors	certified driver examiner cde	0	2
74	licensing examiners and inspectors	certified driver license test administrator	0	3
74	licensing examiners and inspectors	compliance examiner	0	4
74	licensing examiners and inspectors	deportation examiner	0	5
75	equal opportunity representatives and officers	equal opportunity representatives and officers	0	1
75	equal opportunity representatives and officers	affirmative action officer aa officer	0	2
75	equal opportunity representatives and officers	civil rights investigator	0	3
75	equal opportunity representatives and officers	civil rights representative	0	4
75	equal opportunity representatives and officers	complaint investigations officer	0	5
76	government property inspectors and investigators	government property inspectors and investigators	0	1
76	government property inspectors and investigators	adjustment examiner	0	2
76	government property inspectors and investigators	admeasurer	0	3
76	government property inspectors and investigators	airport operations officer	0	4
76	government property inspectors and investigators	appraiser	0	5
77	coroners	coroners	0	1
77	coroners	chief deputy coroner	0	2
77	coroners	coroner	0	3
77	coroners	coroner forensic technician	0	4
77	coroners	coroner technician	0	5
78	regulatory affairs specialists	regulatory affairs specialists	0	1
78	regulatory affairs specialists	clinical quality assurance associate	0	2
78	regulatory affairs specialists	clinical quality assurance specialist	0	3
78	regulatory affairs specialists	drug regulatory affairs specialist	0	4
78	regulatory affairs specialists	product safety specialist	0	5
79	cost estimators	cost estimators	0	1
79	cost estimators	building construction estimator	0	2
79	cost estimators	building estimator	0	3
79	cost estimators	construction estimator	0	4
79	cost estimators	construction job cost estimator	0	5
80	human resources specialists	human resources specialists	0	1
80	human resources specialists	background investigator	0	2
80	human resources specialists	business agent	0	3
80	human resources specialists	campaign director	0	4
80	human resources specialists	campaign worker	0	5
81	farm labor contractors	farm labor contractors	0	1
81	farm labor contractors	crew leader	0	2
81	farm labor contractors	farm contractor	0	3
81	farm labor contractors	farm crew leader	0	4
81	farm labor contractors	farm crew member	0	5
82	labor relations specialists	labor relations specialists	0	1
82	labor relations specialists	business agent	0	2
82	labor relations specialists	business representative	0	3
82	labor relations specialists	collective bargaining specialist	0	4
82	labor relations specialists	conciliator	0	5
83	logisticians	logisticians	0	1
83	logisticians	acquisition analyst	0	2
83	logisticians	administrative analyst	0	3
83	logisticians	automated logistics specialist	0	4
83	logisticians	integrated logistics support manager ils manager	0	5
84	logistics engineers	logistics engineers	0	1
84	logistics engineers	continuous improvement specialist	0	2
84	logistics engineers	cost engineer	0	3
84	logistics engineers	cost estimating engineer	0	4
84	logistics engineers	cost reduction engineer	0	5
85	logistics analysts	logistics analysts	0	1
85	logistics analysts	acquisition analyst	0	2
85	logistics analysts	acquisitions logistics analyst	0	3
85	logistics analysts	global logistics analyst	0	4
85	logistics analysts	inventory manager	0	5
86	management analysts	management analysts	0	1
86	management analysts	administrative analyst	0	2
86	management analysts	adviser sales	0	3
86	management analysts	analyst sales	0	4
86	management analysts	analyzer sales	0	5
87	meeting convention and event planners	meeting convention and event planners	0	1
87	meeting convention and event planners	catering and convention services coordinator	0	2
87	meeting convention and event planners	catering and convention services manager	0	3
87	meeting convention and event planners	catering and convention services sales manager	0	4
87	meeting convention and event planners	catering manager	0	5
88	fundraisers	fundraisers	0	1
88	fundraisers	annual giving officer	0	2
88	fundraisers	campaign fundraiser	0	3
88	fundraisers	capital campaign fundraiser	0	4
88	fundraisers	chief fundraising officer	0	5
89	compensation benefits and job analysis specialists	compensation benefits and job analysis specialists	0	1
89	compensation benefits and job analysis specialists	benefit specialist	0	2
89	compensation benefits and job analysis specialists	benefits administrator	0	3
89	compensation benefits and job analysis specialists	benefits analyst	0	4
89	compensation benefits and job analysis specialists	benefits consultant	0	5
90	training and development specialists	training and development specialists	0	1
90	training and development specialists	applications trainer	0	2
90	training and development specialists	apprenticeship and training representative	0	3
90	training and development specialists	auxiliary personnel inservice coordinator	0	4
90	training and development specialists	bilingual trainer	0	5
91	market research analysts and marketing specialists	market research analysts and marketing specialists	0	1
91	market research analysts and marketing specialists	account manager	0	2
91	market research analysts and marketing specialists	advertising analyst	0	3
91	market research analysts and marketing specialists	business development analyst	0	4
91	market research analysts and marketing specialists	business development specialist	0	5
92	business operations specialists all other	business operations specialists all other	0	1
92	business operations specialists all other	administrative analyst	0	2
92	business operations specialists all other	administrative assistant	0	3
92	business operations specialists all other	attendance officer	0	4
92	business operations specialists all other	bar examiner	0	5
93	energy auditors	energy auditors	0	1
93	energy auditors	building performance consultant	0	2
93	energy auditors	certified energy manager	0	3
93	energy auditors	commercial energy auditor	0	4
93	energy auditors	commercial energy rater	0	5
94	security management specialists	security management specialists	0	1
94	security management specialists	consultant	0	2
94	security management specialists	director security risk management	0	3
94	security management specialists	electronic security specialist	0	4
94	security management specialists	operations specialist	0	5
95	customs brokers	customs brokers	0	1
95	customs brokers	air export agent	0	2
95	customs brokers	air export operations agent	0	3
95	customs brokers	cargo broker	0	4
95	customs brokers	customs agent	0	5
96	business continuity planners	business continuity planners	0	1
96	business continuity planners	business consultant	0	2
96	business continuity planners	business continuity analyst	0	3
96	business continuity planners	business continuity and crisis management director	0	4
96	business continuity planners	business continuity coordinator	0	5
97	sustainability specialists	sustainability specialists	0	1
97	sustainability specialists	ceoleed ap o  m director of sustainability chief environmental officerleadership in energy and environmental design applications operations and management director of sustainability	0	2
97	sustainability specialists	champion of sustainable design	0	3
97	sustainability specialists	chief specialist leed chief specialist leadership in energy and environmental design	0	4
97	sustainability specialists	lead sustainability specialist	0	5
98	online merchants	online merchants	0	1
98	online merchants	ecommerce analyst	0	2
98	online merchants	ecommerce developer	0	3
98	online merchants	ecommerce director	0	4
98	online merchants	ecommerce manager	0	5
99	accountants and auditors	accountants and auditors	0	1
99	accountants and auditors	account auditor	0	2
99	accountants and auditors	accountant	0	3
99	accountants and auditors	auditor	0	4
99	accountants and auditors	auditorincharge	0	5
100	accountants	accountants	0	1
100	accountants	accountant	0	2
100	accountants	accountant manager	0	3
100	accountants	accounting analyst	0	4
100	accountants	accounting bookkeeper	0	5
101	auditors	auditors	0	1
101	auditors	account auditor	0	2
101	auditors	accounting auditor	0	3
101	auditors	asset analyst	0	4
101	auditors	assurance manager	0	5
102	appraisers and assessors of real estate	appraisers and assessors of real estate	0	1
102	appraisers and assessors of real estate	assessor	0	2
102	appraisers and assessors of real estate	city assessor	0	3
102	appraisers and assessors of real estate	county assessor	0	4
102	appraisers and assessors of real estate	land appraiser	0	5
103	assessors	assessors	0	1
103	assessors	agricultural appraiser	0	2
103	assessors	appraiser	0	3
103	assessors	assessor	0	4
103	assessors	auditor appraiser	0	5
104	appraisers real estate	appraisers real estate	0	1
104	appraisers real estate	appraiser	0	2
104	appraisers real estate	bank appraiser	0	3
104	appraisers real estate	certified real estate appraiser	0	4
104	appraisers real estate	certified residential real estate appraiser	0	5
105	budget analysts	budget analysts	0	1
105	budget analysts	accountant	0	2
105	budget analysts	accounting supervisor	0	3
105	budget analysts	budget analyst	0	4
105	budget analysts	budget and policy analyst	0	5
106	credit analysts	credit analysts	0	1
106	credit analysts	analyst	0	2
106	credit analysts	credit administrator	0	3
106	credit analysts	credit analyst	0	4
106	credit analysts	credit and collections analyst	0	5
107	financial analysts	financial analysts	0	1
107	financial analysts	alternative financing specialist	0	2
107	financial analysts	bank analyst	0	3
107	financial analysts	banking analyst	0	4
107	financial analysts	bond analyst	0	5
108	personal financial advisors	personal financial advisors	0	1
108	personal financial advisors	account executive	0	2
108	personal financial advisors	account manager	0	3
108	personal financial advisors	advisor	0	4
108	personal financial advisors	analyst	0	5
109	insurance underwriters	insurance underwriters	0	1
109	insurance underwriters	account underwriter	0	2
109	insurance underwriters	automobile and property underwriter	0	3
109	insurance underwriters	bond underwriter	0	4
109	insurance underwriters	commercial lines underwriter	0	5
110	financial examiners	financial examiners	0	1
110	financial examiners	agent	0	2
110	financial examiners	bank compliance officer	0	3
110	financial examiners	bank examiner	0	4
110	financial examiners	bank secrecy act antimoney laundering officer bsaaml officer	0	5
111	credit counselors	credit counselors	0	1
111	credit counselors	assistant director for financial literacy	0	2
111	credit counselors	branch credit counselor	0	3
111	credit counselors	certified consumer credit and housing counselor	0	4
111	credit counselors	certified credit counselor	0	5
112	loan counselors	loan counselors	0	1
112	loan counselors	commercial lending vice president	0	2
112	loan counselors	credit counselor	0	3
112	loan counselors	eligibility consultant	0	4
112	loan counselors	farm mortgage agent	0	5
113	loan officers	loan officers	0	1
113	loan officers	agricultural loan officer	0	2
113	loan officers	bank officer	0	3
113	loan officers	bank representative	0	4
113	loan officers	banking services officer	0	5
114	tax examiners and collectors and revenue agents	tax examiners and collectors and revenue agents	0	1
114	tax examiners and collectors and revenue agents	account clerk	0	2
114	tax examiners and collectors and revenue agents	accounting assistant	0	3
114	tax examiners and collectors and revenue agents	adjustment examiner	0	4
114	tax examiners and collectors and revenue agents	administrative specialist	0	5
115	tax preparers	tax preparers	0	1
115	tax preparers	certified income tax preparer ctp	0	2
115	tax preparers	corporate tax preparer	0	3
115	tax preparers	enrolled agent	0	4
115	tax preparers	income tax advisor	0	5
116	financial specialists all other	financial specialists all other	0	1
116	financial specialists all other	adjuster	0	2
116	financial specialists all other	bail agent	0	3
116	financial specialists all other	bail bond agent	0	4
116	financial specialists all other	bail bondsman	0	5
117	financial quantitative analysts	financial quantitative analysts	0	1
117	financial quantitative analysts	data analyst	0	2
117	financial quantitative analysts	equity structurer	0	3
117	financial quantitative analysts	financial engineer	0	4
117	financial quantitative analysts	financial quantitative analyst	0	5
118	risk management specialists	risk management specialists	0	1
118	risk management specialists	chief risk officer	0	2
118	risk management specialists	credit risk management director	0	3
118	risk management specialists	global risk management director	0	4
118	risk management specialists	market risk analyst	0	5
119	investment underwriters	investment underwriters	0	1
119	investment underwriters	investment banker	0	2
119	investment underwriters	investment underwriter	0	3
119	investment underwriters	mergers and acquisitions associate	0	4
119	investment underwriters	mergers and acquisitions banker ma banker	0	5
120	fraud examiners investigators and analysts	fraud examiners investigators and analysts	0	1
120	fraud examiners investigators and analysts	audit manager	0	2
120	fraud examiners investigators and analysts	certified fraud examiner	0	3
120	fraud examiners investigators and analysts	data analyst	0	4
120	fraud examiners investigators and analysts	forensic accountant	0	5
121	computer and information research scientists	computer and information research scientists	0	1
121	computer and information research scientists	applications engineer	0	2
121	computer and information research scientists	artificial intelligence specialist	0	3
121	computer and information research scientists	bioinformatics software engineer	0	4
121	computer and information research scientists	computational linguist	0	5
122	computer systems analysts	computer systems analysts	0	1
122	computer systems analysts	applications analyst	0	2
122	computer systems analysts	applications developer	0	3
122	computer systems analysts	applications systems analyst	0	4
122	computer systems analysts	automatic data processing planner	0	5
123	informatics nurse specialists	informatics nurse specialists	0	1
123	informatics nurse specialists	business consultant clinical informatics	0	2
123	informatics nurse specialists	clinical applications specialist	0	3
